symbol,trade_id,alert_date,level,level_type,dist_pct,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_sv,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
VALE3.SA,29,2024-02-26,65.175,support,0.875,65.75,0.0149,65.75,2024-03-15,18,0.28,2024-02-27,1.97,1.69,595.58,20% target,1,3571.428571428571,1000,7035.714285714285,6035.714285714285
VALE3.SA,30,2024-03-05,65.175,support,1.025,65.85,0.0149,65.85,2024-04-19,45,0.65,2024-03-06,1.53,0.88,134.2,20% target,1,1538.4615384615383,1000,2353.846153846154,1353.8461538461538
VALE3.SA,31,2024-03-13,62,resistance,1.258,61.23,0.0195,61.23,2024-04-19,37,0.53,2024-03-15,1,0.47,89.5,20% target,2,1886.7924528301885,1000,1886.7924528301885,886.7924528301885
VALE3.SA,32,2024-03-19,62,resistance,0.977,61.4,0.0178,61.4,2024-04-19,31,0.44,2024-03-20,0.81,0.37,83.15,20% target,1,2272.7272727272725,1000,1840.9090909090908,840.9090909090908
VALE3.SA,33,2024-03-26,59.36,support,1.149,60.05,0.0154,60.05,2024-04-19,24,0.34,2024-03-27,0.85,0.52,154.22,20% target,1,2941.176470588235,1000,2500,1500
VALE3.SA,34,2024-04-01,62,resistance,1.274,61.22,0.0159,61.22,2024-05-17,46,0.62,2024-04-02,1.32,0.7,111.6,20% target,1,1612.9032258064517,1000,2129.0322580645166,1129.0322580645166
VALE3.SA,35,2024-04-05,59.36,support,0.586,59.71,0.0159,59.71,2024-05-17,42,0.56,2024-04-08,3.77,3.21,574.41,20% target,3,1785.7142857142856,1000,6732.142857142857,5732.142857142857
VALE3.SA,36,2024-04-09,62,support,0.879,62.55,0.0195,62.55,2024-05-17,38,0.55,2024-04-16,0.69,0.14,24.46,20% target,7,1818.181818181818,1000,1254.5454545454543,254.54545454545428
VALE3.SA,37,2024-04-24,64.455,resistance,1.408,63.56,0.0153,63.56,2024-05-17,23,0.34,2024-04-25,1.03,0.69,203.17,20% target,1,2941.176470588235,1000,3029.4117647058824,2029.4117647058824
VALE3.SA,38,2024-05-23,64.455,support,0.915,65.05,0.0106,65.05,2024-06-21,29,0.41,2024-05-27,0.61,0.19,46.1,20% target,4,2439.0243902439024,1000,1487.8048780487804,487.80487804878044
VALE3.SA,39,2024-06-12,59.36,support,1.297,60.14,0.011,60.14,2024-07-19,37,0.49,2024-06-13,1.16,0.68,138.62,20% target,1,2040.8163265306123,1000,2367.34693877551,1367.34693877551
VALE3.SA,40,2024-07-03,64.455,resistance,0.428,64.18,0.0096,64.18,2024-08-16,44,0.62,2024-07-10,1.49,0.88,142.07,20% target,7,1612.9032258064517,1000,2403.225806451613,1403.2258064516132
VALE3.SA,41,2024-07-23,59.535,support,1.154,60.23,0.0099,60.23,2024-08-16,24,0.32,2024-07-24,0.67,0.35,111.5,20% target,1,3125,1000,2093.75,1093.75
VALE3.SA,42,2024-07-30,59.535,support,1.137,60.22,0.0103,60.22,2024-08-16,17,0.23,2024-07-31,1.62,1.39,607.06,20% target,1,4347.826086956522,1000,7043.478260869566,6043.478260869566
VALE3.SA,43,2024-08-27,59.535,support,0.443,59.8,0.0164,59.8,2024-09-20,24,0.34,2024-09-02,0.46,0.13,37.08,20% target,6,2941.176470588235,1000,1352.9411764705883,352.9411764705883
VALE3.SA,44,2024-09-10,55.48,support,0.929,56,0.0148,56,2024-10-18,38,0.47,2024-09-11,2.04,1.57,331.53,20% target,1,2127.6595744680853,1000,4340.425531914894,3340.4255319148942
VALE3.SA,45,2024-09-24,59.925,support,0.688,60.34,0.0176,60.34,2024-10-18,24,0.35,2024-09-25,0.58,0.23,65.1,20% target,1,2857.1428571428573,1000,1657.142857142857,657.1428571428571
VALE3.SA,46,2024-09-26,64.355,resistance,0.163,64.25,0.0217,64.25,2024-10-18,22,0.38,2024-09-30,0.5,0.12,33.05,20% target,4,2631.578947368421,1000,1315.7894736842104,315.7894736842104
VALE3.SA,47,2024-10-17,59.925,support,1.374,60.76,0.0216,60.76,2024-11-15,29,0.44,2024-10-23,1.1,0.66,150.35,20% target,6,2272.7272727272725,1000,2500,1500
